name|orgurl|bzurl
Skolelinux|http://www.skolelinux.no/|http://bugs.skolelinux.no/
softCENTRAL|http://www.softcentral.com/|http://www.softcentral.com/bugCENTRAL/
Spam Assassin|http://www.spamassassin.org/|http://bugzilla.spamassassin.org/
SquidGuard|http://www.squidguard.org/|http://www.squidguard.org/cgi-bin/bugs/index.cgi
Squid|http://www.squid-cache.org/|http://bugs.squid-cache.org/
Stratasoft|http://www.stratasoft.com|http://bugs.stratasoft.com/
SuDo|http://www.sudo.ws/|http://www.sudo.ws/bugs/
SuSE Linux/Novell|http://www.novell.com/|http://bugzilla.novell.com/
Sylpheed Claws|http://www.thewildbeast.co.uk/sylpheed-claws/|http://www.thewildbeast.co.uk/sylpheed-claws/bugzilla/index.cgi
SystemDataRecorder|http://www.systemdatarecorder.org/|http://systemdatarecorder.org:9009/bugzilla/
TECOM|http://www.tecomtech.com/|http://www.tecomtech.com/bugzilla/
The D Programming Language|http://www.digitalmars.com/d/|http://d.puremagic.com/issues/
The Globus Toolkit|http://www.globus.org/|http://bugzilla.globus.org/bugzilla/
The OpenFabrics Alliance|http://www.openfabrics.org/|https://bugs.openfabrics.org/
The World Wide Web Consortium|http://www.w3.org/|http://www.w3.org/Bugs/Public/
TimeSys|https://linuxlink.timesys.com/|https://linuxlink.timesys.com/bugs/
Tinyproxy|https://www.banu.com/tinyproxy/|https://www.banu.com/bugzilla/
Unbound|http://unbound.net/|http://www.nlnetlabs.nl/bugs/
W3C|http://www.w3.org|http://www.w3.org/Bugs/Public/
WebKit|http://webkit.org/|http://bugs.webkit.org/
willuhn.de Buzzword Factory|https://www.willuhn.de/|https://www.willuhn.de/bugzilla/
Wine|http://www.winehq.com/|http://bugs.winehq.com/
Wireshark|http://www.wireshark.org/|http://bugs.wireshark.org/
XenSource|http://www.xensource.com/|http://bugzilla.xensource.com/bugzilla/
XFCE|http://www.xfce.org/|http://bugzilla.xfce.org/
libtorque|http://dank.qemfd.net/dankwiki/index.php/Libtorque|http://dank.qemfd.net/bugzilla/
DV Digitaler Verlag GmbH|http://dv.de/|http://bugs.dv.de/
Interactive Limited|http://www.interactivelimited.com/|https://sa1on.com/bugzilla/
Greytip Software Pvt. Ltd.|http://www.greytip.com/|http://bugs.greytip.com/
March Hare Software|http://march-hare.com/|http://customer.march-hare.com/webtools/bugzilla/tt.htm
Mediaup Crossmedia|http://www.mediaup.de/|http://bugzilla.mediaup.de/
ContentLion|http://contentlion.org/|http://bugzilla.contentlion.org/
Mageia Linux|http://www.mageia.org|https://bugs.mageia.org/
LiveCode|http://www.livecode.org/|http://quality.runrev.com/
ESSPL|http://www.esspl.com/|http://bugzilla.esspl.com/
